Time,Depth (mm),F_z (N)
0.0,0.0,0.0
15.221905708312988,-0.09199987205952745,0.0
30.44383430480957,-0.39699946949112985,-57.68065055120518
45.66572952270508,-1.0339488079664174,-45.69557159512886
60.88762283325195,-2.2415621250937336,-174.1108826643955
76.10951232910156,-3.5578502772099907,-306.80751052790515
91.33145141601562,-4.915271624118474,-258.050307618921
106.55330657958984,-6.321204828661353,-356.71799017480885
121.77528381347656,-7.778675154469898,-356.57738856900033
136.9971160888672,-9.29674638681333,-229.34988188585297
152.21902465820312,-10.8789290488692,-267.5787846548635
167.44091796875,-12.406916863862886,-308.21524749328074
182.66285705566406,-13.733720013427941,-280.3158333317542
197.88475036621094,-14.90881715506941,-336.2366645360596
213.10662841796875,-15.96489931946158,-248.02343264203995
228.32858276367188,-16.917887527796367,-211.59018325401877
243.55047607421875,-17.777962125251488,-269.1751663847925
258.77239990234375,-18.545886829827513,-293.18102231139807
273.9942626953125,-19.210195198871325,-280.0991102034908
289.2161865234375,-19.73687748770523,-194.79142330918975
304.43798828125,-0.04021617373577868,0.0
